Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,100n,C77055
C2,0603,1,10u,C2959727
C3,0603,1,330n,C361106
C4,CP_Radial_D18.0mm_P7.50mm,1,10000u,C700874
"D1, D2",D_SOD-323F,2,MM3Zxx,C154578
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,C2764576
Q1,SOIC-8_3.9x4.9mm_P1.27mm,1,DMP3098LSD-13,C531177
"R1, R11, R12, R2, R3, R4",0603,6,10k,C98220
"R10, R7, R8, R9",0603,4,100,C105588
"R5, R6",0603,2,4.7k,C116697
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny84A-SS,C1340034
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U3,TO-252-2,1,LM78M05_TO252,
