Designator,Mid X,Mid Y,Rotation,Layer
C1,131.4,-86.3,0.0,top
C2,134.7,-86.3,0.0,top
C3,129.125,-77.3,0.0,top
C4,130.9,-74.5,0.0,bottom
C5,125.725,-81.8,0.0,top
D1,143.45,-94.1,0.0,top
D2,143.45,-90.8,0.0,top
J1,119.43,-90.84,0.0,top
Q1,126.4,-101.4,0.0,top
R1,134.0,-89.6,0.0,top
R10,134.0,-94.7,0.0,top
R11,130.3,-101.3,90.0,top
R12,122.4,-101.4,90.0,top
R2,132.4,-97.9,0.0,top
R3,137.3,-98.25,180.0,top
R4,138.85,-87.9,180.0,top
R5,123.9,-84.525,270.0,top
R6,142.5,-86.7,270.0,top
R7,122.6,-96.3,180.0,top
R8,127.1,-96.3,180.0,top
R9,134.0,-92.0,0.0,top
U1,127.73,-91.225,180.0,top
U2,138.5,-93.3,0.0,top
U3,132.065,-81.775,0.0,top
